"treatment","feel1","feel2","feel3","feel4"
"Recycling Script by Straight Canvasser",57,49,NA,51
"No Contact",100,99,100,100
"Recycling Script by Straight Canvasser",95,98,100,100
"Recycling Script by Gay Canvasser",81,86,NA,77
"Recycling Script by Gay Canvasser",73,76,65,75
"Recycling Script by Gay Canvasser",66,71,69,56
"Recycling Script by Gay Canvasser",68,64,72,74
"Recycling Script by Straight Canvasser",92,100,83,NA
"Same-Sex Marriage Script by Straight Canvasser",31,35,33,NA
"Same-Sex Marriage Script by Straight Canvasser",64,65,73,NA
"Recycling Script by Gay Canvasser",53,56,58,58
"Recycling Script by Straight Canvasser",66,64,60,63
"Recycling Script by Gay Canvasser",96,97,98,93
"Same-Sex Marriage Script by Gay Canvasser",10,2,5,1
"Recycling Script by Straight Canvasser",39,47,33,27
"Recycling Script by Gay Canvasser",40,40,41,32
"No Contact",80,76,78,78
"Recycling Script by Gay Canvasser",39,44,NA,51
"No Contact",69,76,73,68
"Recycling Script by Straight Canvasser",65,59,66,69
"Recycling Script by Straight Canvasser",53,56,47,47
"Recycling Script by Gay Canvasser",0,3,4,0
"Same-Sex Marriage Script by Straight Canvasser",40,43,36,32
"No Contact",24,24,31,31
"Same-Sex Marriage Script by Gay Canvasser",74,70,73,76
"No Contact",34,34,34,32
"Same-Sex Marriage Script by Gay Canvasser",1,0,0,0
"Recycling Script by Gay Canvasser",100,100,99,96
"Same-Sex Marriage Script by Straight Canvasser",53,49,51,25
"No Contact",40,31,41,46
"Recycling Script by Straight Canvasser",41,46,48,42
"No Contact",31,35,36,34
"Same-Sex Marriage Script by Straight Canvasser",42,47,32,34
"Same-Sex Marriage Script by Gay Canvasser",42,38,34,40
"Same-Sex Marriage Script by Gay Canvasser",18,19,37,18
"No Contact",40,37,37,50
"Same-Sex Marriage Script by Gay Canvasser",78,80,79,69
"Same-Sex Marriage Script by Straight Canvasser",73,71,70,79
"Same-Sex Marriage Script by Gay Canvasser",63,63,67,57
"No Contact",63,62,71,59
"Recycling Script by Gay Canvasser",24,18,NA,24
"Recycling Script by Gay Canvasser",59,57,60,49
"No Contact",100,94,100,92
"Recycling Script by Straight Canvasser",14,11,7,8
"No Contact",0,0,0,0
"No Contact",100,100,96,98
"No Contact",68,72,69,66
"Same-Sex Marriage Script by Gay Canvasser",78,84,NA,78
"Same-Sex Marriage Script by Gay Canvasser",62,57,73,63
"Same-Sex Marriage Script by Gay Canvasser",29,17,34,39
"Same-Sex Marriage Script by Gay Canvasser",100,100,100,100
"No Contact",89,85,87,80
"No Contact",71,77,74,70
"Same-Sex Marriage Script by Gay Canvasser",83,77,NA,85
"Recycling Script by Straight Canvasser",37,37,38,NA
"Recycling Script by Straight Canvasser",44,42,NA,44
"Recycling Script by Straight Canvasser",59,56,70,71
"Recycling Script by Straight Canvasser",44,39,51,60
"Same-Sex Marriage Script by Gay Canvasser",95,100,100,81
"Recycling Script by Straight Canvasser",73,72,63,71
"No Contact",89,95,83,89
"Same-Sex Marriage Script by Gay Canvasser",39,37,39,50
"Recycling Script by Straight Canvasser",28,25,20,37
"Recycling Script by Gay Canvasser",96,97,92,100
"Recycling Script by Gay Canvasser",23,27,22,28
"Recycling Script by Gay Canvasser",46,38,NA,40
"Recycling Script by Gay Canvasser",61,63,65,61
"Recycling Script by Gay Canvasser",42,42,44,47
"Same-Sex Marriage Script by Gay Canvasser",37,41,NA,30
"No Contact",55,58,50,57
"No Contact",10,7,11,14
"Recycling Script by Straight Canvasser",18,23,11,15
"Recycling Script by Straight Canvasser",63,68,60,70
"No Contact",42,38,45,37
"Same-Sex Marriage Script by Gay Canvasser",49,48,58,46
"Recycling Script by Gay Canvasser",78,72,NA,79
"Same-Sex Marriage Script by Straight Canvasser",100,100,100,100
"Same-Sex Marriage Script by Straight Canvasser",100,100,94,99
"Same-Sex Marriage Script by Gay Canvasser",64,64,64,59
"Same-Sex Marriage Script by Gay Canvasser",55,50,57,43
"Recycling Script by Straight Canvasser",83,87,86,85
"No Contact",91,90,NA,93
"Recycling Script by Straight Canvasser",92,91,92,97
"Recycling Script by Gay Canvasser",23,20,29,31
"Recycling Script by Straight Canvasser",42,48,41,33
"Recycling Script by Straight Canvasser",32,36,NA,41
"No Contact",75,68,90,76
"Recycling Script by Straight Canvasser",47,46,50,46
"No Contact",43,51,43,35
"Same-Sex Marriage Script by Straight Canvasser",82,89,81,82
"Recycling Script by Gay Canvasser",44,36,39,NA
"Same-Sex Marriage Script by Gay Canvasser",100,95,100,100
"Recycling Script by Gay Canvasser",24,15,28,33
"Recycling Script by Straight Canvasser",46,46,38,45
"Recycling Script by Gay Canvasser",17,19,29,13
"Same-Sex Marriage Script by Straight Canvasser",36,43,44,51
"Same-Sex Marriage Script by Gay Canvasser",54,58,56,54
"Same-Sex Marriage Script by Straight Canvasser",53,55,48,60
"Recycling Script by Gay Canvasser",50,55,52,41
"Recycling Script by Gay Canvasser",12,20,11,14
"No Contact",68,75,59,58
"Recycling Script by Gay Canvasser",24,13,16,26
"Same-Sex Marriage Script by Straight Canvasser",73,66,69,68
"Recycling Script by Straight Canvasser",54,50,54,61
"Same-Sex Marriage Script by Gay Canvasser",26,20,25,28
"Recycling Script by Gay Canvasser",38,38,30,38
"Recycling Script by Gay Canvasser",76,80,90,79
"Same-Sex Marriage Script by Straight Canvasser",71,78,67,59
"Same-Sex Marriage Script by Straight Canvasser",25,17,18,16
"No Contact",79,80,81,80
"No Contact",75,83,74,81
"Recycling Script by Gay Canvasser",67,68,60,60
"Same-Sex Marriage Script by Gay Canvasser",62,60,66,60
"Recycling Script by Gay Canvasser",74,72,71,69
"Recycling Script by Straight Canvasser",90,85,NA,99
"Same-Sex Marriage Script by Straight Canvasser",9,9,10,2
"Same-Sex Marriage Script by Straight Canvasser",63,64,71,61
"No Contact",43,43,47,49
"Same-Sex Marriage Script by Gay Canvasser",17,12,21,10
"Recycling Script by Gay Canvasser",100,100,100,94
"Same-Sex Marriage Script by Gay Canvasser",63,63,NA,63
"Same-Sex Marriage Script by Gay Canvasser",57,58,58,51
"Recycling Script by Straight Canvasser",100,100,92,NA
"Same-Sex Marriage Script by Gay Canvasser",68,71,67,60
"Recycling Script by Straight Canvasser",69,63,74,55
"Recycling Script by Straight Canvasser",92,97,91,92
"Recycling Script by Gay Canvasser",90,93,86,81
"Same-Sex Marriage Script by Straight Canvasser",19,17,11,28
"No Contact",91,88,96,94
"Same-Sex Marriage Script by Straight Canvasser",41,42,45,47
"No Contact",65,69,61,59
"Same-Sex Marriage Script by Gay Canvasser",91,87,76,88
"Recycling Script by Gay Canvasser",51,53,48,56
"No Contact",91,97,100,100
"Recycling Script by Straight Canvasser",94,97,100,95
"Same-Sex Marriage Script by Gay Canvasser",46,48,47,46
"Recycling Script by Gay Canvasser",85,91,82,81
"No Contact",55,50,54,52
"No Contact",49,46,44,42
"Same-Sex Marriage Script by Gay Canvasser",89,85,81,99
"Recycling Script by Straight Canvasser",30,26,31,36
"No Contact",23,19,NA,24
"No Contact",75,70,79,82
"Recycling Script by Gay Canvasser",33,28,40,45
"Same-Sex Marriage Script by Gay Canvasser",27,30,34,23
"Recycling Script by Gay Canvasser",94,98,NA,93
"Recycling Script by Straight Canvasser",37,40,32,35
"Same-Sex Marriage Script by Straight Canvasser",53,54,50,52
"Recycling Script by Gay Canvasser",77,78,79,70
"Same-Sex Marriage Script by Gay Canvasser",62,59,58,75
"Same-Sex Marriage Script by Gay Canvasser",29,25,27,30
"Same-Sex Marriage Script by Gay Canvasser",93,97,80,99
"Recycling Script by Gay Canvasser",57,51,53,63
"Recycling Script by Gay Canvasser",100,100,98,90
"No Contact",50,47,49,41
"Recycling Script by Straight Canvasser",78,74,83,81
"Same-Sex Marriage Script by Straight Canvasser",100,100,92,100
"Recycling Script by Gay Canvasser",58,50,62,65
"Recycling Script by Gay Canvasser",57,58,NA,55
"Recycling Script by Gay Canvasser",31,35,35,29
"No Contact",53,50,59,54
"No Contact",59,55,65,67
"Same-Sex Marriage Script by Straight Canvasser",55,54,NA,53
"Recycling Script by Gay Canvasser",100,99,95,100
"Same-Sex Marriage Script by Gay Canvasser",75,77,82,71
"Same-Sex Marriage Script by Straight Canvasser",63,61,61,61
"Same-Sex Marriage Script by Straight Canvasser",60,66,58,59
"No Contact",45,47,48,46
"Recycling Script by Straight Canvasser",52,59,62,55
"Recycling Script by Gay Canvasser",59,60,47,62
"Recycling Script by Straight Canvasser",12,16,11,11
"Same-Sex Marriage Script by Straight Canvasser",67,78,72,69
"Recycling Script by Gay Canvasser",55,62,55,52
"Same-Sex Marriage Script by Gay Canvasser",73,69,73,NA
"Recycling Script by Gay Canvasser",88,85,89,92
"Same-Sex Marriage Script by Straight Canvasser",70,65,66,80
"No Contact",100,93,91,100
"Same-Sex Marriage Script by Straight Canvasser",16,24,15,32
"Recycling Script by Straight Canvasser",57,58,59,62
"Same-Sex Marriage Script by Straight Canvasser",76,68,79,84
"No Contact",92,90,100,81
"Recycling Script by Gay Canvasser",37,37,37,27
"Same-Sex Marriage Script by Straight Canvasser",90,94,87,85
"Same-Sex Marriage Script by Straight Canvasser",22,24,27,24
"Recycling Script by Gay Canvasser",36,41,23,33
"No Contact",58,56,51,59
"Same-Sex Marriage Script by Gay Canvasser",70,67,72,63
"Same-Sex Marriage Script by Gay Canvasser",81,72,84,72
"Recycling Script by Straight Canvasser",62,63,65,70
"No Contact",55,65,50,51
"Same-Sex Marriage Script by Straight Canvasser",55,58,57,64
"No Contact",58,64,60,49
"Same-Sex Marriage Script by Straight Canvasser",50,52,NA,72
"No Contact",0,0,0,0
"Recycling Script by Straight Canvasser",70,69,65,87
"No Contact",67,67,71,71
"Recycling Script by Gay Canvasser",55,48,45,60
"No Contact",96,100,100,100
"No Contact",21,30,21,12
"Recycling Script by Gay Canvasser",26,21,24,19
"No Contact",73,73,NA,69
"Same-Sex Marriage Script by Straight Canvasser",60,67,58,83
"Recycling Script by Gay Canvasser",56,45,52,55
"Recycling Script by Straight Canvasser",80,85,NA,92
"Same-Sex Marriage Script by Straight Canvasser",30,32,23,19
"No Contact",47,55,38,41
"Recycling Script by Straight Canvasser",58,52,61,54
"Recycling Script by Straight Canvasser",71,62,65,72
"Recycling Script by Gay Canvasser",89,80,84,87
"Recycling Script by Gay Canvasser",6,6,NA,0
"Same-Sex Marriage Script by Straight Canvasser",65,68,65,73
"Same-Sex Marriage Script by Straight Canvasser",50,54,41,43
"Recycling Script by Straight Canvasser",62,52,51,72
"Recycling Script by Gay Canvasser",89,95,89,89
"Recycling Script by Gay Canvasser",88,87,80,97
"Same-Sex Marriage Script by Gay Canvasser",43,50,46,36
"Same-Sex Marriage Script by Straight Canvasser",94,90,93,88
"No Contact",48,41,50,59
"Same-Sex Marriage Script by Straight Canvasser",59,63,59,48
"Recycling Script by Straight Canvasser",73,80,80,64
"Same-Sex Marriage Script by Gay Canvasser",77,75,63,82
"Same-Sex Marriage Script by Gay Canvasser",0,0,0,0
"Recycling Script by Straight Canvasser",47,51,43,46
"Same-Sex Marriage Script by Straight Canvasser",0,0,3,0
"Same-Sex Marriage Script by Straight Canvasser",77,76,72,78
"Same-Sex Marriage Script by Gay Canvasser",0,1,6,0
"No Contact",56,58,62,55
"Recycling Script by Straight Canvasser",84,82,74,NA
"No Contact",71,73,71,72
"No Contact",50,55,52,53
"Recycling Script by Gay Canvasser",68,66,75,70
"Same-Sex Marriage Script by Gay Canvasser",56,59,58,56
"No Contact",48,53,62,45
"Recycling Script by Gay Canvasser",33,33,39,33
"Recycling Script by Gay Canvasser",38,36,40,42
"No Contact",83,81,85,88
"No Contact",25,22,15,23
"Same-Sex Marriage Script by Gay Canvasser",68,65,71,65
"No Contact",69,70,76,80
"Same-Sex Marriage Script by Straight Canvasser",80,77,79,80
"No Contact",46,45,32,38
"No Contact",83,86,NA,83
"Recycling Script by Gay Canvasser",71,73,80,62
"Same-Sex Marriage Script by Gay Canvasser",26,30,31,20
"Recycling Script by Gay Canvasser",70,61,69,NA
"Same-Sex Marriage Script by Gay Canvasser",53,49,53,54
"Same-Sex Marriage Script by Gay Canvasser",75,72,74,68
"No Contact",100,100,100,100
"Same-Sex Marriage Script by Straight Canvasser",81,83,75,79
"Same-Sex Marriage Script by Gay Canvasser",80,86,76,80
"Same-Sex Marriage Script by Gay Canvasser",83,87,78,82
"Recycling Script by Gay Canvasser",100,100,94,95
"Same-Sex Marriage Script by Straight Canvasser",66,61,66,55
"Same-Sex Marriage Script by Straight Canvasser",19,16,26,21
"No Contact",27,26,25,38
"Same-Sex Marriage Script by Gay Canvasser",82,88,78,78
"Same-Sex Marriage Script by Gay Canvasser",19,17,22,31
"Recycling Script by Straight Canvasser",81,76,90,85
"No Contact",80,81,79,78
"Recycling Script by Gay Canvasser",60,58,54,59
"Recycling Script by Straight Canvasser",73,80,NA,83
"Same-Sex Marriage Script by Gay Canvasser",100,96,92,95
"No Contact",100,92,100,NA
"Same-Sex Marriage Script by Gay Canvasser",69,78,70,62
"Recycling Script by Gay Canvasser",100,95,100,96
"Recycling Script by Gay Canvasser",38,47,31,36
"Recycling Script by Gay Canvasser",61,63,68,58
"No Contact",100,100,100,94
"Same-Sex Marriage Script by Straight Canvasser",68,69,54,92
"Same-Sex Marriage Script by Straight Canvasser",55,54,51,56
"Same-Sex Marriage Script by Straight Canvasser",67,62,67,72
"No Contact",18,24,20,25
"No Contact",99,100,100,90
"Same-Sex Marriage Script by Gay Canvasser",73,76,73,78
"Same-Sex Marriage Script by Gay Canvasser",46,43,50,66
"No Contact",71,70,76,54
"No Contact",68,67,75,71
"No Contact",72,71,70,68
"Recycling Script by Straight Canvasser",29,27,33,27
"Recycling Script by Gay Canvasser",48,47,49,61
"Same-Sex Marriage Script by Gay Canvasser",85,91,81,79
"Recycling Script by Straight Canvasser",2,0,NA,0
"Same-Sex Marriage Script by Gay Canvasser",48,55,54,54
"Same-Sex Marriage Script by Gay Canvasser",25,28,18,31
"Same-Sex Marriage Script by Straight Canvasser",34,38,36,33
"No Contact",69,69,71,76
"No Contact",54,50,54,49
"Recycling Script by Straight Canvasser",71,65,69,70
"Same-Sex Marriage Script by Straight Canvasser",71,74,69,80
"Recycling Script by Gay Canvasser",78,77,75,82
"Same-Sex Marriage Script by Gay Canvasser",29,37,37,15
"Same-Sex Marriage Script by Gay Canvasser",34,38,43,26
"Same-Sex Marriage Script by Straight Canvasser",52,60,63,55
"No Contact",100,100,100,92
"Recycling Script by Straight Canvasser",28,33,43,37
"Same-Sex Marriage Script by Gay Canvasser",100,100,98,95
"Recycling Script by Straight Canvasser",67,75,54,71
"Recycling Script by Gay Canvasser",54,51,46,50
"Recycling Script by Straight Canvasser",57,61,54,60
"Recycling Script by Gay Canvasser",43,39,29,43
"Same-Sex Marriage Script by Gay Canvasser",100,100,100,100
"Recycling Script by Straight Canvasser",19,27,NA,11
"Same-Sex Marriage Script by Straight Canvasser",6,4,14,8
"Same-Sex Marriage Script by Gay Canvasser",77,74,86,75
"Recycling Script by Gay Canvasser",100,95,100,95
"Same-Sex Marriage Script by Gay Canvasser",73,60,63,80
"Same-Sex Marriage Script by Gay Canvasser",29,30,37,32
"Same-Sex Marriage Script by Gay Canvasser",44,45,44,NA
"Recycling Script by Gay Canvasser",39,33,43,34
"Same-Sex Marriage Script by Gay Canvasser",100,100,100,100
"Same-Sex Marriage Script by Straight Canvasser",0,2,0,10
"Recycling Script by Straight Canvasser",89,91,84,95
"Same-Sex Marriage Script by Straight Canvasser",58,52,62,57
"Same-Sex Marriage Script by Straight Canvasser",65,67,63,83
"Recycling Script by Gay Canvasser",74,76,69,71
"Same-Sex Marriage Script by Gay Canvasser",77,74,72,75
"No Contact",13,8,NA,18
"No Contact",43,43,38,48
"Same-Sex Marriage Script by Gay Canvasser",66,65,69,70
"Recycling Script by Gay Canvasser",81,80,88,77
"Recycling Script by Gay Canvasser",38,34,37,55
"No Contact",0,1,0,0
"Recycling Script by Gay Canvasser",37,37,46,29
"Recycling Script by Gay Canvasser",23,23,27,21
"No Contact",68,69,63,78
"Same-Sex Marriage Script by Gay Canvasser",59,54,NA,66
"Same-Sex Marriage Script by Straight Canvasser",64,57,56,70
"Recycling Script by Straight Canvasser",0,0,6,4
"Same-Sex Marriage Script by Straight Canvasser",29,28,26,31
"Same-Sex Marriage Script by Gay Canvasser",70,75,57,58
"Recycling Script by Gay Canvasser",22,21,25,31
"No Contact",55,53,56,46
"Same-Sex Marriage Script by Gay Canvasser",50,54,44,48
"Same-Sex Marriage Script by Straight Canvasser",66,66,73,66
"No Contact",100,92,100,100
"Recycling Script by Straight Canvasser",79,83,79,79
"No Contact",27,27,41,32
"Recycling Script by Gay Canvasser",85,83,87,76
"Recycling Script by Gay Canvasser",51,52,48,60
"Recycling Script by Gay Canvasser",91,88,85,100
"Recycling Script by Straight Canvasser",22,17,23,27
"Same-Sex Marriage Script by Gay Canvasser",47,46,51,54
"Same-Sex Marriage Script by Gay Canvasser",31,25,25,28
"No Contact",61,59,64,NA
"Recycling Script by Straight Canvasser",36,37,30,36
"Same-Sex Marriage Script by Gay Canvasser",12,12,NA,0
"Recycling Script by Gay Canvasser",53,54,58,54
"Recycling Script by Gay Canvasser",65,66,66,64
"No Contact",26,30,23,28
"Same-Sex Marriage Script by Gay Canvasser",29,38,21,40
"Same-Sex Marriage Script by Gay Canvasser",100,97,100,94
"Recycling Script by Straight Canvasser",63,67,58,59
"Recycling Script by Gay Canvasser",74,72,74,NA
"No Contact",80,82,78,77
"Same-Sex Marriage Script by Straight Canvasser",0,0,0,0
"Recycling Script by Straight Canvasser",77,70,75,81
"Recycling Script by Straight Canvasser",53,56,61,62
"No Contact",63,62,79,71
"Recycling Script by Gay Canvasser",44,43,43,49
"Same-Sex Marriage Script by Straight Canvasser",14,7,6,8
"Same-Sex Marriage Script by Gay Canvasser",64,60,56,63
"Same-Sex Marriage Script by Gay Canvasser",30,34,30,43
"No Contact",40,46,38,45
"Recycling Script by Straight Canvasser",28,36,30,24
"Recycling Script by Straight Canvasser",14,11,17,17
"No Contact",26,25,32,25
"Same-Sex Marriage Script by Straight Canvasser",72,64,70,74
"Recycling Script by Gay Canvasser",46,51,49,46
"Recycling Script by Gay Canvasser",6,0,3,8
"No Contact",78,81,73,NA
"Same-Sex Marriage Script by Gay Canvasser",89,100,87,81
"Recycling Script by Gay Canvasser",48,36,46,43
"Recycling Script by Straight Canvasser",36,33,43,35
"Same-Sex Marriage Script by Straight Canvasser",81,86,73,89
"Recycling Script by Straight Canvasser",90,86,96,94
"No Contact",69,74,79,72
"Same-Sex Marriage Script by Straight Canvasser",47,43,50,45
"Same-Sex Marriage Script by Gay Canvasser",46,47,51,36
"No Contact",93,88,79,NA
"No Contact",59,53,62,NA
"Same-Sex Marriage Script by Gay Canvasser",83,82,86,83
"No Contact",88,88,91,81
"Same-Sex Marriage Script by Gay Canvasser",16,12,2,4
"No Contact",54,61,63,56
"Same-Sex Marriage Script by Straight Canvasser",54,60,54,59
"Same-Sex Marriage Script by Gay Canvasser",83,79,84,NA
"Recycling Script by Gay Canvasser",69,70,77,73
"No Contact",6,5,10,15
"No Contact",56,57,53,55
"No Contact",85,78,72,NA
"Recycling Script by Gay Canvasser",81,84,78,86
"Same-Sex Marriage Script by Gay Canvasser",57,57,65,53
"Same-Sex Marriage Script by Straight Canvasser",16,22,16,27
"No Contact",36,31,39,35
"Recycling Script by Straight Canvasser",25,25,15,25
"Recycling Script by Gay Canvasser",54,60,50,47
"Same-Sex Marriage Script by Gay Canvasser",29,29,30,19
"No Contact",84,86,86,84
"No Contact",42,45,45,36
"No Contact",37,37,34,35
"Recycling Script by Straight Canvasser",33,28,NA,43
"Recycling Script by Gay Canvasser",76,82,77,78
"Recycling Script by Gay Canvasser",40,38,52,45
"Same-Sex Marriage Script by Gay Canvasser",46,48,41,44
"Recycling Script by Straight Canvasser",76,78,75,65
"No Contact",53,53,62,NA
"Recycling Script by Straight Canvasser",62,57,56,67
"Same-Sex Marriage Script by Gay Canvasser",48,37,43,34
"No Contact",46,53,50,43
"Recycling Script by Straight Canvasser",100,100,97,95
"Recycling Script by Straight Canvasser",67,64,75,56
"Recycling Script by Straight Canvasser",3,0,2,0
"No Contact",90,89,90,88
"Same-Sex Marriage Script by Gay Canvasser",82,76,88,88
"Same-Sex Marriage Script by Gay Canvasser",74,80,57,74
"Recycling Script by Gay Canvasser",27,24,20,22
"No Contact",19,21,25,21
"Same-Sex Marriage Script by Gay Canvasser",31,31,29,31
"Same-Sex Marriage Script by Gay Canvasser",100,100,100,100
"Recycling Script by Straight Canvasser",54,56,46,71
"Same-Sex Marriage Script by Gay Canvasser",51,47,47,NA
"No Contact",51,52,44,54
"Same-Sex Marriage Script by Gay Canvasser",67,68,69,59
"Recycling Script by Straight Canvasser",46,47,NA,40
"No Contact",100,100,91,100
"No Contact",38,35,42,31
"Recycling Script by Straight Canvasser",39,39,25,41
"Same-Sex Marriage Script by Gay Canvasser",9,9,9,11
"Recycling Script by Gay Canvasser",80,79,NA,80
"Same-Sex Marriage Script by Gay Canvasser",54,47,63,67
"No Contact",71,72,73,80
"Recycling Script by Straight Canvasser",22,21,27,21
"Same-Sex Marriage Script by Straight Canvasser",55,48,54,61
"Same-Sex Marriage Script by Straight Canvasser",85,89,78,87
"Same-Sex Marriage Script by Gay Canvasser",64,58,64,62
"Recycling Script by Gay Canvasser",63,67,68,63
"Recycling Script by Gay Canvasser",42,41,37,39
"Same-Sex Marriage Script by Gay Canvasser",56,51,51,63
"Same-Sex Marriage Script by Gay Canvasser",28,26,34,37
"No Contact",57,52,55,56
"Recycling Script by Gay Canvasser",0,5,NA,0
"Recycling Script by Gay Canvasser",41,43,43,52
"Recycling Script by Gay Canvasser",52,49,47,52
"Same-Sex Marriage Script by Gay Canvasser",81,85,83,82
"No Contact",60,62,60,49
"No Contact",49,39,44,NA
"Recycling Script by Gay Canvasser",100,95,90,100
"No Contact",28,38,30,NA
"No Contact",70,73,71,77
"Recycling Script by Gay Canvasser",34,32,32,19
"No Contact",90,88,85,93
"Same-Sex Marriage Script by Gay Canvasser",92,96,96,90
"Recycling Script by Straight Canvasser",66,62,68,60
"Same-Sex Marriage Script by Straight Canvasser",45,45,48,38
"Same-Sex Marriage Script by Straight Canvasser",67,61,NA,66
"No Contact",80,78,92,77
"Recycling Script by Gay Canvasser",23,19,21,34
"Recycling Script by Gay Canvasser",36,42,21,32
"Recycling Script by Gay Canvasser",0,0,0,0
"Recycling Script by Straight Canvasser",60,58,75,71
"No Contact",70,73,74,64
"Recycling Script by Gay Canvasser",100,100,100,100
"Recycling Script by Straight Canvasser",73,76,76,55
"Same-Sex Marriage Script by Straight Canvasser",72,72,74,66
"No Contact",83,82,89,89
"Recycling Script by Gay Canvasser",81,81,78,79
"Same-Sex Marriage Script by Straight Canvasser",100,100,100,97
"Same-Sex Marriage Script by Straight Canvasser",60,58,56,51
"Recycling Script by Straight Canvasser",88,88,91,90
"Recycling Script by Straight Canvasser",58,61,60,47
"Recycling Script by Gay Canvasser",49,43,44,52
"Same-Sex Marriage Script by Straight Canvasser",51,43,55,46
"Recycling Script by Straight Canvasser",16,18,16,15
"No Contact",26,29,27,27
"Recycling Script by Straight Canvasser",82,74,84,81
"No Contact",83,78,85,89
"Same-Sex Marriage Script by Straight Canvasser",8,11,6,5
"Recycling Script by Gay Canvasser",44,46,49,36
"Recycling Script by Straight Canvasser",42,37,45,47
"Same-Sex Marriage Script by Gay Canvasser",76,86,64,72
"Recycling Script by Gay Canvasser",51,46,56,55
"Recycling Script by Straight Canvasser",15,18,17,0
"Same-Sex Marriage Script by Straight Canvasser",85,86,88,77
"Recycling Script by Straight Canvasser",75,68,73,68
"Same-Sex Marriage Script by Straight Canvasser",60,65,51,55
"No Contact",55,56,53,63
"No Contact",52,54,50,55
"Recycling Script by Gay Canvasser",97,98,99,100
"Recycling Script by Straight Canvasser",89,87,89,80
"Same-Sex Marriage Script by Gay Canvasser",84,75,90,87
"Recycling Script by Gay Canvasser",59,62,64,63
"Same-Sex Marriage Script by Straight Canvasser",46,37,NA,42
"Same-Sex Marriage Script by Straight Canvasser",97,95,100,93
"No Contact",39,33,38,45
"Same-Sex Marriage Script by Gay Canvasser",100,100,93,100
"Same-Sex Marriage Script by Straight Canvasser",35,27,32,38
"Same-Sex Marriage Script by Straight Canvasser",21,20,12,11
"Recycling Script by Straight Canvasser",71,72,62,63
"No Contact",69,70,72,NA
"No Contact",76,74,78,74
"No Contact",31,31,42,31
"No Contact",76,82,82,81
"Same-Sex Marriage Script by Gay Canvasser",61,61,63,53
"No Contact",58,49,58,54
"Recycling Script by Gay Canvasser",93,86,97,94
"Same-Sex Marriage Script by Gay Canvasser",87,83,NA,85
"No Contact",24,26,22,28
"Recycling Script by Straight Canvasser",43,38,45,43
"Same-Sex Marriage Script by Gay Canvasser",43,48,NA,45
"Recycling Script by Gay Canvasser",61,64,61,69
"Recycling Script by Gay Canvasser",52,54,49,53
"Same-Sex Marriage Script by Straight Canvasser",57,58,47,NA
"Recycling Script by Straight Canvasser",100,94,100,100
"Same-Sex Marriage Script by Gay Canvasser",47,45,53,23
"Same-Sex Marriage Script by Gay Canvasser",71,70,77,59
"Recycling Script by Straight Canvasser",100,95,100,NA
"Same-Sex Marriage Script by Straight Canvasser",64,70,59,61
"Recycling Script by Straight Canvasser",39,40,46,31
"Recycling Script by Straight Canvasser",74,74,73,67
"Same-Sex Marriage Script by Straight Canvasser",52,53,35,NA
"Recycling Script by Gay Canvasser",57,64,52,63
"Same-Sex Marriage Script by Gay Canvasser",77,72,NA,70
"Recycling Script by Gay Canvasser",52,52,NA,56
"Same-Sex Marriage Script by Straight Canvasser",56,52,56,NA
"No Contact",33,27,38,NA
"Same-Sex Marriage Script by Straight Canvasser",16,23,7,19
"No Contact",2,0,10,6
"Same-Sex Marriage Script by Straight Canvasser",76,79,82,NA
"Recycling Script by Straight Canvasser",82,80,76,83
"Same-Sex Marriage Script by Straight Canvasser",43,31,42,61
"Recycling Script by Straight Canvasser",64,54,70,69
"Recycling Script by Straight Canvasser",50,59,NA,42
"No Contact",52,49,45,52
"Same-Sex Marriage Script by Straight Canvasser",41,40,34,59
"No Contact",52,56,51,NA
"Recycling Script by Gay Canvasser",50,45,50,45
"No Contact",82,81,66,73
"Same-Sex Marriage Script by Gay Canvasser",97,100,88,100
"Recycling Script by Gay Canvasser",87,86,90,88
"Recycling Script by Gay Canvasser",12,14,10,6
"Recycling Script by Straight Canvasser",77,73,84,78
"Same-Sex Marriage Script by Straight Canvasser",46,47,42,42
"Recycling Script by Straight Canvasser",30,23,31,22
"Same-Sex Marriage Script by Straight Canvasser",43,44,34,41
"Recycling Script by Straight Canvasser",29,29,34,22
"Same-Sex Marriage Script by Gay Canvasser",21,25,25,12
"Recycling Script by Straight Canvasser",85,91,97,95
"Recycling Script by Straight Canvasser",94,94,94,93
"No Contact",64,59,58,65
"Recycling Script by Straight Canvasser",85,89,77,91
"Recycling Script by Straight Canvasser",20,15,16,NA
"Same-Sex Marriage Script by Gay Canvasser",62,67,59,58
"Recycling Script by Gay Canvasser",100,97,98,100
"Recycling Script by Gay Canvasser",55,57,47,47
"Recycling Script by Straight Canvasser",85,77,79,90
"Same-Sex Marriage Script by Gay Canvasser",72,79,74,62
"Recycling Script by Gay Canvasser",44,50,43,34
"Same-Sex Marriage Script by Straight Canvasser",42,44,39,47
"No Contact",67,62,63,67
"Recycling Script by Straight Canvasser",76,75,77,81
"Recycling Script by Gay Canvasser",0,6,14,15
"Same-Sex Marriage Script by Straight Canvasser",41,46,47,38
"Same-Sex Marriage Script by Straight Canvasser",60,55,57,57
"Same-Sex Marriage Script by Straight Canvasser",59,69,48,55
